Utility	tick		Utility	tick		Utility	tick		Utility
1587639,26	115470		1589329,762	115470		1583566,715	115470		1586845,245
1841588,379	116190		1917586,443	116190		1891442,326	116190		1883539,049
1819575,851	116910		1967695,831	116910		1924645,461	116910		1903972,381
1891089,802	117630		1872180,6	117630		1885551,801	117630		1882940,734
1919632,358	118350		1893006,524	118350		1929938,997	118350		1914192,627
1927219,381	119070		1900101,387	119070		1904106,802	119070		1910475,856
1586565,98	119790		1601469,988	119790		1612689,975	119790		1600241,981
1550935,608	120510		1624516,816	120510		1594111,11	120510		1589854,511
1933123,082	121230		1927915,215	121230		1900859,803	121230		1920632,7
1910537,936	121950		1913965,877	121950		1964553,555	121950		1929685,789
1855693,032	122670		1839882,331	122670		1925546,717	122670		1873707,36
1895533,161	123390		1904292,07	123390		1908147,156	123390		1902657,462
1804333,623	124110		1947194,803	124110		1930006,785	124110		1893845,07
1565212,804	124830		1587503,558	124830		1592506,408	124830		1581740,923
1585405,494	125550		1559334,815	125550		1588882,209	125550		1577874,173
1849003,529	126270		1870884,512	126270		1952557,209	126270		1890815,083
1923690,192	126990		1879230,234	126990		1859978,038	126990		1887632,821
1883755,843	127710		1908507,975	127710		1990529,526	127710		1927597,781
1886362,36	128430		1910822,153	128430		1911796,783	128430		1902993,765
1829167,59	129150		1986677,817	129150		1917594,353	129150		1911146,587
1631478,795	129870		1611820,62	129870		1554208,104	129870		1599169,173
1607683,035	130590		1612698,107	130590		1595432,607	130590		1605271,25
1907300,227	131310		1960169,599	131310		1893086,634	131310		1920185,487
1880985,969	132030		1913863,332	132030		1908871,969	132030		1901240,423
1925944,458	132750		1880657,848	132750		1900565,676	132750		1902389,328
1940462,126	133470		1862331,657	133470		1925172,228	133470		1909322,004
1886055,28	134190		1896109,913	134190		1913783,477	134190		1898649,557
1588469,032	134910		1587627,325	134910		1598922,422	134910		1591672,926
1590171,638	135630		1575879,219	135630		1610239,712	135630		1592096,856
1928063,081	136350		1864744,541	136350		1940012,25	136350		1910939,957
1975209,178	137070		1907166,616	137070		1862914,979	137070		1915096,924
1892138,424	137790		1855262,861	137790		1899178,347	137790		1882193,21
1846617,545	138510		1941893,284	138510		1943998,242	138510		1910836,357
1883343,782	139230		1874223,89	139230		1887872,701	139230		1881813,458
1604281,156	139950		1566132,848	139950		1610253,694	139950		1593555,899
1630451,953	140670		1592375,552	140670		1576069,568	140670		1599632,358
1929046,883	141390		1934285,978	141390		1945254,55	141390		1936195,804
1922078,725	142110		1931440,149	142110		1879235,133	142110		1910918,003
1928802,378	142830		1936050,164	142830		1930865,466	142830		1931906,003
1845257,888	143550		1885313,165	143550		1926698,743	143550		1885756,599
1923069,307	144270		2028789,729	144270		1850590,612	144270		1934149,883
1573039,416	144990		1551308,404	144990		1580220,613	144990		1568189,478
1546298,892	145710		1624060,69	145710		1585936,18	145710		1585431,921
1882061,344	146430		1909442,158	146430		1894672,856	146430		1895392,119
1954212,509	147150		1937825,281	147150		1820347,982	147150		1904128,59
1879344,019	147870		1869240,138	147870		1914040,305	147870		1887541,487
1868644,627	148590		1918242,508	148590		1926025,164	148590		1904304,1
1984874,304	149310		1871378,157	149310		1933088,935	149310		1929780,465
1585354,019	150030		1542836,537	150030		1575547,264	150030		1567912,606
1560987,261	150750		1593408,927	150750		1617202,891	150750		1590533,027
1939105,638	151470		1869193,614	151470		1897202,275	151470		1901833,842
1924866,454	152190		2047920,744	152190		1955176,062	152190		1975987,753
1930860,854	152910		1864088,549	152910		1916615,208	152910		1903854,87
1892799,611	153630		1911088,65	153630		1921515,8	153630		1908468,02
1912551,94	154350		1853561,377	154350		1913653,119	154350		1893255,479
1561027,641	155070		1567881,879	155070		1614174,726	155070		1581028,082
1573062,142	155790		1601234,674	155790		1573631,02	155790		1582642,612
1872571,23	156510		1934428,555	156510		1878131,979	156510		1895043,922
1932804,357	157230		1890631,95	157230		1828062,478	157230		1883832,928
1899634,675	157950		1872698,738	157950		1884995,113	157950		1885776,175
1923711,02	158670		1920761,345	158670		1946956,09	158670		1930476,152
1882763,205	159390		1881382,744	159390		1903902,106	159390		1889349,352
1561461,97	160110		1616708,199	160110		1612239,551	160110		1596803,24
1571418,57	160830		1574479,558	160830		1618365,344	160830		1588087,824
1953903,493	161550		1922959,789	161550		1867954,592	161550		1914939,291
1916291,705	162270		1855924,027	162270		1902821,511	162270		1891679,081
1933666,838	162990		1945967,889	162990		1895531,485	162990		1925055,404
1883769,796	163710		1946061,887	163710		1924337,572	163710		1918056,418
1919882,318	164430		1872217,08	164430		1847615,691	164430		1879905,03
1578057,194	165150		1577114,268	165150		1601317,045	165150		1585496,169
1585848,353	165870		1590462,374	165870		1605418,294	165870		1593909,674
1873478,033	166590		1935609,92	166590		1915683,957	166590		1908257,303
1882256,193	167310		1936765,104	167310		1943313,617	167310		1920778,305
1950701,068	168030		1820175,062	168030		1880114,528	168030		1883663,553
1911202,051	168750		1884308,208	168750		1924240,602	168750		1906583,62
1835597,114	169470		1867358,875	169470		1908045,533	169470		1870333,841
1592770,579	170190		1586778,321	170190		1592035,659	170190		1590528,186
1592789,48	170910		1577517,765	170910		1563237,406	170910		1577848,217
1874459,476	171630		1918967,153	171630		1908600,573	171630		1900675,734
1943678,566	172350		1972039,792	172350		1901691,994	172350		1939136,784
1870498,602	173070		1894499,148	173070		1876475,554	173070		1880491,101
1870713,791	173790		1924130,149	173790		1930930,019	173790		1908591,32
1896532,452	174510		1970942,555	174510		1891755,462	174510		1919743,49
1572459,032	175230		1574502,686	175230		1582671,315	175230		1576544,344
1610889,055	175950		1578907,193	175950		1564749,938	175950		1584848,729
